date_time,Date,Time,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,FG,DZ,BR,SN,RA,PL,TS,WeatherTypeReported,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,CLR,FEW,SCT,BKN,OVC,VV,CloudCoverReported,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed
2/28/2019 0:51:00,2/28/2019,0:51:00,30.01,21,27,0,0,0,0,0,0,0,0,0,0,78,30.01,OVC:08 12,0,0,0,0,1,0,1,29.98,10,25,60,,6
2/28/2019 1:27:00,2/28/2019,1:27:00,30,22,27,,0,0,0,0,0,0,0,0,0,81,,OVC:08 8,0,0,0,0,1,0,1,29.97,9,25,10,,8
2/28/2019 1:29:00,2/28/2019,1:29:00,30,22,27,T,-FZ:8 DZ:01 |FZDZ |,0,1,0,0,0,0,0,1,81,,OVC:08 8,0,0,0,0,1,0,1,29.97,9,25,30,,8
2/28/2019 1:51:00,2/28/2019,1:51:00,30,22,27,T,-FZ:8 DZ:01 |FZDZ |,0,1,0,0,0,0,0,1,81,30,OVC:08 8,0,0,0,0,1,0,1,29.97,7,25,30,,7
2/28/2019 2:08:00,2/28/2019,2:08:00,30.01,23,27,T,-SN:03 BR:1 |SN |,0,0,1,1,0,0,0,2,85,,OVC:08 8,0,0,0,0,1,0,1,29.98,3,26,30,,8
2/28/2019 2:13:00,2/28/2019,2:13:00,30.01,23,27,0.01,-SN:03 BR:1 |SN |,0,0,1,1,0,0,0,2,85,,OVC:08 8,0,0,0,0,1,0,1,29.98,2,26,20,,6
2/28/2019 2:27:00,2/28/2019,2:27:00,30,24,27,0.01,-SN:03 BR:1 |SN |,0,0,1,1,0,0,0,2,89,,OVC:08 8,0,0,0,0,1,0,1,29.97,1,26,20,,6
2/28/2019 2:51:00,2/28/2019,2:51:00,29.99,24,27,0.02,-SN:03 BR:1 |SN |,0,0,1,1,0,0,0,2,89,29.99,BKN:07 8 OVC:08 12,0,0,0,1,1,0,2,29.96,1,26,30,,5
2/28/2019 3:47:00,2/28/2019,3:47:00,29.99,25,28,T,-SN:03 BR:1 |SN |,0,0,1,1,0,0,0,2,86,,OVC:08 6,0,0,0,0,1,0,1,29.96,4,27,360,,8
2/28/2019 3:51:00,2/28/2019,3:51:00,30,25,28,T,-SN:03 BR:1 |SN |,0,0,1,1,0,0,0,2,88,29.99,OVC:08 6,0,0,0,0,1,0,1,29.97,5,27,10,,7
2/28/2019 4:35:00,2/28/2019,4:35:00,30.01,25,28,0.01,-SN:03 |SN |,0,0,0,1,0,0,0,1,88,,SCT:04 9 BKN:07 17 OVC:08 23,0,0,1,1,1,0,3,29.98,9,27,20,,7
2/28/2019 4:51:00,2/28/2019,4:51:00,30.01,25,28,0.01,-SN:03 |SN |,0,0,0,1,0,0,0,1,88,30.01,FEW:02 9 BKN:07 17 OVC:08 23,0,1,0,1,1,0,3,29.98,9,27,40,,5
2/28/2019 5:22:00,2/28/2019,5:22:00,30.02,25,29,T,0,0,0,0,0,0,0,0,0,85,,BKN:07 9 BKN:07 19 OVC:08 26,0,0,0,1,1,0,2,29.99,10,28,30,,5
2/28/2019 5:51:00,2/28/2019,5:51:00,30.04,25,29,T,0,0,0,0,0,0,0,0,0,85,30.03,BKN:07 9 BKN:07 22,0,0,0,1,0,0,1,30.01,10,28,360,,7
2/28/2019 6:15:00,2/28/2019,6:15:00,30.05,25,29,,0,0,0,0,0,0,0,0,0,85,,BKN:07 10 OVC:08 25,0,0,0,1,1,0,2,30.02,10,28,10,,7
2/28/2019 6:51:00,2/28/2019,6:51:00,30.08,24,29,0,0,0,0,0,0,0,0,0,0,82,30.07,BKN:07 10 OVC:08 25,0,0,0,1,1,0,2,30.05,10,27,10,16,9
2/28/2019 6:58:00,2/28/2019,6:58:00,30.08,23,28,,0,0,0,0,0,0,0,0,0,81,,FEW:02 10 BKN:07 25 OVC:08 44,0,1,0,1,1,0,3,30.05,10,26,VRB,,7
2/28/2019 7:10:00,2/28/2019,7:10:00,30.08,23,28,,0,0,0,0,0,0,0,0,0,81,,FEW:02 24 SCT:04 29 OVC:08 43,0,1,1,0,1,0,3,30.05,10,26,340,,8
2/28/2019 7:51:00,2/28/2019,7:51:00,30.11,20,29,0,0,0,0,0,0,0,0,0,0,69,30.11,FEW:02 24 SCT:04 34 BKN:07 250,0,1,1,1,0,0,3,30.08,10,26,330,,20
2/28/2019 8:51:00,2/28/2019,8:51:00,30.13,18,30,0,0,0,0,0,0,0,0,0,0,61,30.13,FEW:02 30 SCT:04 250,0,1,1,0,0,0,2,30.1,10,26,320,25,18
2/28/2019 9:51:00,2/28/2019,9:51:00,30.14,16,31,0,0,0,0,0,0,0,0,0,0,54,30.14,FEW:02 30 SCT:04 250,0,1,1,0,0,0,2,30.11,10,26,330,26,21
2/28/2019 10:51:00,2/28/2019,10:51:00,30.15,15,32,0,0,0,0,0,0,0,0,0,0,50,30.15,FEW:02 30 SCT:04 250,0,1,1,0,0,0,2,30.12,10,27,320,28,14
