date_time,wait,Hospital
2/28/2019 16:51:01,2,Glen Cove Hospital
2/28/2019 16:51:01,2,Syosset Hospital
2/28/2019 16:51:01,3,Staten Island University Hospital - South
2/28/2019 16:51:01,8,Plainview Hospital
2/28/2019 16:51:01,9,Huntington Hospital
2/28/2019 16:51:01,12,Long Island Jewish Valley Stream
2/28/2019 16:51:01,17,Southside Hospital
2/28/2019 16:51:01,18,North Shore University Hospital
2/28/2019 16:51:01,19,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 16:51:01,26,Lenox Hill Hospital
2/28/2019 16:51:01,26,Long Island Jewish Forest Hills
2/28/2019 16:51:01,37,Long Island Jewish Medical Center
2/28/2019 16:51:01,40,Lenox Health Greenwich Village
2/28/2019 17:51:01,1,Syosset Hospital
2/28/2019 17:51:01,2,Staten Island University Hospital - South
2/28/2019 17:51:01,4,Plainview Hospital
2/28/2019 17:51:01,6,Glen Cove Hospital
2/28/2019 17:51:01,10,Huntington Hospital
2/28/2019 17:51:01,20,Long Island Jewish Valley Stream
2/28/2019 17:51:01,28,Lenox Hill Hospital
2/28/2019 17:51:01,28,Southside Hospital
2/28/2019 17:51:01,32,Lenox Health Greenwich Village
2/28/2019 17:51:01,37,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 17:51:01,41,Long Island Jewish Forest Hills
2/28/2019 17:51:01,45,Staten Island University Hospital - North
2/28/2019 17:51:01,48,North Shore University Hospital
2/28/2019 18:51:01,4,Syosset Hospital
2/28/2019 18:51:01,5,Staten Island University Hospital - South
2/28/2019 18:51:01,10,Plainview Hospital
2/28/2019 18:51:01,12,Glen Cove Hospital
2/28/2019 18:51:01,13,Huntington Hospital
2/28/2019 18:51:01,17,Lenox Health Greenwich Village
2/28/2019 18:51:01,33,Lenox Hill Hospital
2/28/2019 18:51:01,33,Southside Hospital
2/28/2019 18:51:01,35,Long Island Jewish Valley Stream
2/28/2019 18:51:01,36,North Shore University Hospital
2/28/2019 18:51:01,46,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 18:51:01,48,Long Island Jewish Medical Center
2/28/2019 18:51:01,49,Staten Island University Hospital - North
2/28/2019 19:51:01,2,Syosset Hospital
2/28/2019 19:51:01,8,Huntington Hospital
2/28/2019 19:51:01,8,Plainview Hospital
2/28/2019 19:51:01,9,Glen Cove Hospital
